marker-color,marker-size,marker-symbol,project-name,state-region,,basin,sub-basin,rivers,status,installed-capacity(MW),generation(GWh/yr),height(M),total-storage(hm),reservoir-area(hm),reservoir-length(km),retention-period(days),Type (#),Export %,stage,date-signed,foreign-developer,local-developer,country-of-foreing-developer,year,lon,lat
#ff0000,large,dam,Renan,Kachin,,Ayeyarwady,Ayeyarwady Headwaters,N'Mai  Hka,,1200,7330,159,1183,9.2,56,6,S,NP ,,,,,,,98.090192,27.525941
#ff0000,large,dam,Kaunglanphu,Kachin,,Ayeyarwady,Ayeyarwady Headwaters,N'Mai  Hka,Planned,2700,14730,223,3101,32.9,~85,12,S,NP ,,,,,,,98.376808,26.849507
#ff0000,large,dam,Wutsok,Kachin,,Ayeyarwady,Ayeyarwady Headwaters,N'Mai  Hka,Planned,"1,800","13,410",141,605,6.3,29,1,ROR ,NP ,MoA ,-2,SPIC ,- ,PRC ,2030,98.292511,26.403585
#ff0000,large,dam,Pisa,Kachin,- ,Ayeyarwady,Ayeyarwady Headwaters,N'Mai  Hka,Planned,"2,000","12,870",153,535,7.9,~31 ,NP ,NP ,NP ,MoA ,16/06/09 ,SPIC ,- ,PRC ,2030,98.34309,26.598389
#ff0000,small,dam,Gawlan,Kachin,13/11/14 ,Ayeyarwady,Ayeyarwady Headwaters,Naw Chang  Hka,Planned,120,594,47,2,6.7,3,0,  ROR ,NP ,JVA ,9/3/2016,YEIG ,IGOEC ,PRC ,2026,98.580461,26.051936
#ff0000,medium,dam,Laungdin,Kachin,13/11/14 ,Ayeyarwady,Ayeyarwady Headwaters,Naw Chang  Hka,Planned,600,"2,401",79,67,12.4,11,3,ROR ,NP ,MoA ,23/07/10 ,YEIG ,IGOEC ,PRC ,2026,98.277743,26.043012
#ff0000,medium,dam,Tongxinqioa,Kachin,18/03/11 ,Ayeyarwady,Ayeyarwady Headwaters,Naw Chang  Hka,planned,340,"1,695",63,5,8.8,4,0,ROR ,NP ,JVA ,19/02/16 ,YEIG ,IGOEC ,PRC ,2026,98.360249,25.963646
#fa0000,large,dam,Laiza,Kachin,- ,Ayeyarwady,Ayeyarwady Headwaters,Mali Hka,Planned,1900,"14,720",196,12756,245,115,35,S,50%,JVA ,3/6/2010,SPIC ,- ,PRC ,2025,97.77695,26.491779
#ff0000,large,dam,Myit Sone,Kachin,1/6/2011,Ayeyarwady,Ayeyarwady,Ayeyarwady,Suspend,"6,000",31290,140,13190,396.7,140+100,10,S,90%,JVA ,20/02/10 ,SPIC ,AWC ,PRC ,Suspended in 2011 ,97.535,25.715
#ff0000,large,dam,Chepwe,Kachin,Started construction ,Ayeyarwady,Ayeyarwady Headwaters,N'Mai  Hka,Planned,"3,400","18,200",206,"1,910",27.7,62,2,ROR ,50%,,,,,,,98.12572,25.8905
