marker-color,marker-size,marker-symbol,project-name,Status,lon,lat,status
#ff0000,large,dam,Renan,Planned,98.090192,27.525941,
#ff0000,large,dam,Kaunglanphu,,98.376808,26.849507,Planned
#ff0000,large,dam,Wutsok,,98.292511,26.403585,Planned
#ff0000,large,dam,Pisa,,98.34309,26.598389,Planned
#ff0000,small,dam,Gawlan,,98.580461,26.051936,Planned
#ff0000,medium,dam,Laungdin,,98.277743,26.043012,Planned
#ff0000,medium,dam,Tongxinqioa,,98.360249,25.963646,planned
#fa0000,large,dam,Laiza,,97.77695,26.491779,Planned
#ff0000,large,dam,Myit Sone,,97.535,25.715,Suspend
#ff0000,large,dam,Chepwe,,98.12572,25.8905,Planned
#000000,small,dam,Chepwe Nge,,98.184039,25.806073,Existing
#ff0000,medium,dam,Dum Ban,,97.907021,25.511556,Planned
#ff0000,small,dam,Nam Tabak 1,,97.713906,25.090722,Planned
#ff0000,medium,dam,Nam Tabak 2,,97.650627,25.119755,Planned
#000000,small,dam,Mali,,97.6135,24.98458,Existing
#ff80c0,medium,dam,Ta Rung Hka,,96.46829,26.718029,Identified Potential Site
#ff0000,small,dam,Hkankawn,,98.429523,26.023865,Planned
#ff0000,medium,dam,Nam Li,,97.811427,25.369858,Planned
#000000,medium,dam,Dapein 1,,97.525448,24.421451,Existing
#ff0000,small,dam,Dapein 2,,97.4214,24.36827,Planned
#000000,medium,dam,Shwe Li 1,,97.506,23.698,Existing
#ff0000,medium,dam,Shwe Li 2,,97.31235,23.6531,Planned
#008080,large,dam,Shwe Li 3,,96.769,23.315,Under Construction
#000000,small,dam,Nam Paw,,97.911001,23.944341,Existing
#ff0000,large,dam,Kun Long,,98.611111,23.531667,Planned
#ff0000,large,dam,Tamanthi,,95.296955,25.322227,Planned
#ff0000,medium,dam,Manipur,,93.943248,22.804356,Planned
#000000,small,dam,Myittha,,94.036944,21.992222,Existing
#ff80c0,medium,dam,Tawog Hka,,96.52987,26.309687,Identified Potential Site
#ff80c0,small,dam,Ta Nai Hka,,96.95008,26.294175,Identified Potential Site
#ff80c0,small,dam,U Yu Chaung,,95.294431,24.865948,Identified Potential Site
#000000,small,dam,Thapanzeik,,95.35833,23.305918,Existing
#ff0000,small,dam,Zedawgyi (Upper),,96.20626,22.74764,Planned
#000000,small,dam,Zedawgyi,,96.326937,22.348646,Existing
#ff0000,small,dam,Deedoke,,96.404455,21.68723,Planned
#000000,medium,dam,Yeywa,,96.474077,21.675196,Existing
#ff0000,medium,dam,Yeywa (Middle),,96.87313,21.96024,Planned
#008080,medium,dam,Yeywa (Upper),,97.046741,22.254093,Under Construction
#ff0000,medium,dam,Nam Lang,,97.248615,22.155565,Planned
#ff0000,small,dam,Nam Hsim,,97.124079,22.560266,Planned
#ff0000,small,dam,Nam Tu,,97.319365,22.720943,Planned
#000000,small,dam,Zawgyi II,,96.8726,21.5648,Existing
#000000,small,dam,Zawgyi I,,96.90147,21.3833,Existing
#000000,small,dam,Myogyi,,96.39144,21.46349,Existing
